source,periodType,date,instrument,period,price,ws
OCEAN,Spot,2022-01-03,TD3C,2022-01-01,7.9,39.6
OCEAN,Balmo,2022-01-03,TD3C,2022-01-01,7.9,39.6
OCEAN,Months,2022-01-03,TD3C,2022-01-01,7.9,39.6
OCEAN,Months,2022-01-03,TD3C,2022-02-01,7.9,39.6
OCEAN,Months,2022-01-03,TD3C,2022-03-01,7.9,39.6
OCEAN,Spot,2022-01-03,TD20,2022-01-01,9.0,58.21
OCEAN,Balmo,2022-01-03,TD20,2022-01-01,9.0,58.21
OCEAN,Months,2022-01-03,TD20,2022-01-01,9.0,58.21
OCEAN,Months,2022-01-03,TD20,2022-02-01,8.9,57.56
OCEAN,Months,2022-01-03,TD20,2022-03-01,9.1,58.86
OCEAN,Spot,2022-01-03,TD22,2022-01-01,17.96,4.85
OCEAN,Balmo,2022-01-03,TD22,2022-01-01,18.5185,5.0
OCEAN,Months,2022-01-03,TD22,2022-01-01,18.5185,5.0
OCEAN,Months,2022-01-03,TD22,2022-02-01,18.5185,5.0
OCEAN,Months,2022-01-03,TD22,2022-03-01,19.0741,5.15
OCEAN,Spot,2022-01-03,TD25,2022-01-01,16.19,86.5
OCEAN,Balmo,2022-01-03,TD25,2022-01-01,18.0,96.15
OCEAN,Months,2022-01-03,TD25,2022-01-01,18.0,96.15
OCEAN,Months,2022-01-03,TD25,2022-02-01,17.2,91.88
OCEAN,Months,2022-01-03,TD25,2022-03-01,16.9,90.27
OCEAN,Months,2022-01-03,TD3C,2022-04-01,7.8,39.09
OCEAN,Months,2022-01-03,TD3C,2022-05-01,7.8,39.09
OCEAN,Months,2022-01-03,TD3C,2022-06-01,7.8,39.09
OCEAN,Months,2022-01-03,TD3C,2022-07-01,8.1,40.6
OCEAN,Months,2022-01-03,TD3C,2022-08-01,8.1,40.6
OCEAN,Months,2022-01-03,TD3C,2022-09-01,8.1,40.6
OCEAN,Months,2022-01-03,TD3C,2022-10-01,10.25,51.37
OCEAN,Months,2022-01-03,TD3C,2022-11-01,10.25,51.37
OCEAN,Months,2022-01-03,TD3C,2022-12-01,10.25,51.37
OCEAN,Months,2022-01-03,TD20,2022-04-01,8.5,54.98
OCEAN,Months,2022-01-03,TD20,2022-05-01,8.5,54.98
OCEAN,Months,2022-01-03,TD20,2022-06-01,8.5,54.98
OCEAN,Months,2022-01-03,TD20,2022-07-01,9.0,58.21
OCEAN,Months,2022-01-03,TD20,2022-08-01,9.0,58.21
OCEAN,Months,2022-01-03,TD20,2022-09-01,9.0,58.21
OCEAN,Months,2022-01-03,TD20,2022-10-01,11.6,75.03
OCEAN,Months,2022-01-03,TD20,2022-11-01,11.6,75.03
OCEAN,Months,2022-01-03,TD20,2022-12-01,11.6,75.03
OCEAN,Months,2022-01-03,TD22,2022-04-01,19.0741,5.15
OCEAN,Months,2022-01-03,TD22,2022-05-01,19.0741,5.15
OCEAN,Months,2022-01-03,TD22,2022-06-01,19.0741,5.15
OCEAN,Months,2022-01-03,TD22,2022-07-01,20.3704,5.5
OCEAN,Months,2022-01-03,TD22,2022-08-01,20.3704,5.5
OCEAN,Months,2022-01-03,TD22,2022-09-01,20.3704,5.5
OCEAN,Months,2022-01-03,TD22,2022-10-01,25.7407,6.95
OCEAN,Months,2022-01-03,TD22,2022-11-01,25.7407,6.95
OCEAN,Months,2022-01-03,TD22,2022-12-01,25.7407,6.95
OCEAN,Months,2022-01-03,TD25,2022-04-01,16.0,85.47
OCEAN,Months,2022-01-03,TD25,2022-05-01,16.0,85.47
OCEAN,Months,2022-01-03,TD25,2022-06-01,16.0,85.47
OCEAN,Months,2022-01-03,TD25,2022-07-01,16.1,86.0
OCEAN,Months,2022-01-03,TD25,2022-08-01,16.1,86.0
OCEAN,Months,2022-01-03,TD25,2022-09-01,16.1,86.0
OCEAN,Months,2022-01-03,TD25,2022-10-01,18.6,99.35
OCEAN,Months,2022-01-03,TD25,2022-11-01,18.6,99.35
OCEAN,Months,2022-01-03,TD25,2022-12-01,18.6,99.35
OCEAN,Months,2022-01-03,TD3C,2023-01-01,9.9,49.62
OCEAN,Months,2022-01-03,TD3C,2023-02-01,9.9,49.62
OCEAN,Months,2022-01-03,TD3C,2023-03-01,9.9,49.62
OCEAN,Months,2022-01-03,TD3C,2023-04-01,9.9,49.62
OCEAN,Months,2022-01-03,TD3C,2023-05-01,9.9,49.62
OCEAN,Months,2022-01-03,TD3C,2023-06-01,9.9,49.62
OCEAN,Months,2022-01-03,TD3C,2023-07-01,9.9,49.62
OCEAN,Months,2022-01-03,TD3C,2023-08-01,9.9,49.62
OCEAN,Months,2022-01-03,TD3C,2023-09-01,9.9,49.62
OCEAN,Months,2022-01-03,TD3C,2023-10-01,9.9,49.62
OCEAN,Months,2022-01-03,TD3C,2023-11-01,9.9,49.62
OCEAN,Months,2022-01-03,TD3C,2023-12-01,9.9,49.62
OCEAN,Months,2022-01-03,TD20,2023-01-01,11.0,77.9
OCEAN,Months,2022-01-03,TD20,2023-02-01,11.0,77.9
OCEAN,Months,2022-01-03,TD20,2023-03-01,11.0,77.9
OCEAN,Months,2022-01-03,TD20,2023-04-01,11.0,77.9
OCEAN,Months,2022-01-03,TD20,2023-05-01,11.0,77.9
OCEAN,Months,2022-01-03,TD20,2023-06-01,11.0,77.9
OCEAN,Months,2022-01-03,TD20,2023-07-01,11.0,77.9
OCEAN,Months,2022-01-03,TD20,2023-08-01,11.0,77.9
OCEAN,Months,2022-01-03,TD20,2023-09-01,11.0,77.9
OCEAN,Months,2022-01-03,TD20,2023-10-01,11.0,77.9
OCEAN,Months,2022-01-03,TD20,2023-11-01,11.0,77.9
OCEAN,Months,2022-01-03,TD20,2023-12-01,11.0,77.9
OCEAN,Spot,2022-01-04,TD3C,2022-01-01,7.4799,37.5
OCEAN,Balmo,2022-01-04,TD3C,2022-01-01,7.43,37.24
OCEAN,Months,2022-01-04,TD3C,2022-01-01,7.43,37.25
OCEAN,Months,2022-01-04,TD3C,2022-02-01,7.78,39.0
OCEAN,Months,2022-01-04,TD3C,2022-03-01,7.88,39.5
OCEAN,Spot,2022-01-04,TD20,2022-01-01,8.5351,55.2
OCEAN,Balmo,2022-01-04,TD20,2022-01-01,9.23,59.73
OCEAN,Months,2022-01-04,TD20,2022-01-01,9.2,59.5
OCEAN,Months,2022-01-04,TD20,2022-02-01,9.04,58.5
OCEAN,Months,2022-01-04,TD20,2022-03-01,9.08,58.75
OCEAN,Spot,2022-01-04,TD22,2022-01-01,17.96,4.85
OCEAN,Balmo,2022-01-04,TD22,2022-01-01,18.3745,4.9611
OCEAN,Months,2022-01-04,TD22,2022-01-01,18.3333,4.95
OCEAN,Months,2022-01-04,TD22,2022-02-01,18.5185,5.0
OCEAN,Months,2022-01-04,TD22,2022-03-01,19.0741,5.15
OCEAN,Spot,2022-01-04,TD25,2022-01-01,16.19,86.5
OCEAN,Balmo,2022-01-04,TD25,2022-01-01,18.31,97.82
OCEAN,Months,2022-01-04,TD25,2022-01-01,18.1,96.69
OCEAN,Months,2022-01-04,TD25,2022-02-01,17.22,92.0
OCEAN,Months,2022-01-04,TD25,2022-03-01,16.89,90.25
OCEAN,Months,2022-01-04,TD3C,2022-04-01,7.93,39.75
OCEAN,Months,2022-01-04,TD3C,2022-05-01,7.93,39.75
OCEAN,Months,2022-01-04,TD3C,2022-06-01,7.93,39.75
OCEAN,Months,2022-01-04,TD3C,2022-07-01,8.08,40.5
OCEAN,Months,2022-01-04,TD3C,2022-08-01,8.08,40.5
OCEAN,Months,2022-01-04,TD3C,2022-09-01,8.08,40.5
OCEAN,Months,2022-01-04,TD3C,2022-10-01,10.22,51.25
OCEAN,Months,2022-01-04,TD3C,2022-11-01,10.22,51.25
OCEAN,Months,2022-01-04,TD3C,2022-12-01,10.22,51.25
OCEAN,Months,2022-01-04,TD20,2022-04-01,8.5,55.0
OCEAN,Months,2022-01-04,TD20,2022-05-01,8.5,55.0
OCEAN,Months,2022-01-04,TD20,2022-06-01,8.5,55.0
OCEAN,Months,2022-01-04,TD20,2022-07-01,9.01,58.25
OCEAN,Months,2022-01-04,TD20,2022-08-01,9.01,58.25
OCEAN,Months,2022-01-04,TD20,2022-09-01,9.01,58.25
OCEAN,Months,2022-01-04,TD20,2022-10-01,11.6,75.0
OCEAN,Months,2022-01-04,TD20,2022-11-01,11.6,75.0
OCEAN,Months,2022-01-04,TD20,2022-12-01,11.6,75.0
OCEAN,Months,2022-01-04,TD22,2022-04-01,19.0741,5.15
OCEAN,Months,2022-01-04,TD22,2022-05-01,19.0741,5.15
OCEAN,Months,2022-01-04,TD22,2022-06-01,19.0741,5.15
OCEAN,Months,2022-01-04,TD22,2022-07-01,20.3704,5.5
OCEAN,Months,2022-01-04,TD22,2022-08-01,20.3704,5.5
OCEAN,Months,2022-01-04,TD22,2022-09-01,20.3704,5.5
OCEAN,Months,2022-01-04,TD22,2022-10-01,25.7407,6.95
OCEAN,Months,2022-01-04,TD22,2022-11-01,25.7407,6.95
OCEAN,Months,2022-01-04,TD22,2022-12-01,25.7407,6.95
OCEAN,Months,2022-01-04,TD25,2022-04-01,16.01,85.5
OCEAN,Months,2022-01-04,TD25,2022-05-01,16.01,85.5
OCEAN,Months,2022-01-04,TD25,2022-06-01,16.01,85.5
OCEAN,Months,2022-01-04,TD25,2022-07-01,16.1,86.0
OCEAN,Months,2022-01-04,TD25,2022-08-01,16.1,86.0
OCEAN,Months,2022-01-04,TD25,2022-09-01,16.1,86.0
OCEAN,Months,2022-01-04,TD25,2022-10-01,18.58,99.25
OCEAN,Months,2022-01-04,TD25,2022-11-01,18.58,99.25
OCEAN,Months,2022-01-04,TD25,2022-12-01,18.58,99.25
OCEAN,Months,2022-01-04,TD3C,2023-01-01,9.9,49.62
OCEAN,Months,2022-01-04,TD3C,2023-02-01,9.9,49.62
OCEAN,Months,2022-01-04,TD3C,2023-03-01,9.9,49.62
OCEAN,Months,2022-01-04,TD3C,2023-04-01,9.9,49.62
OCEAN,Months,2022-01-04,TD3C,2023-05-01,9.9,49.62
OCEAN,Months,2022-01-04,TD3C,2023-06-01,9.9,49.62
OCEAN,Months,2022-01-04,TD3C,2023-07-01,9.9,49.62
OCEAN,Months,2022-01-04,TD3C,2023-08-01,9.9,49.62
OCEAN,Months,2022-01-04,TD3C,2023-09-01,9.9,49.62
OCEAN,Months,2022-01-04,TD3C,2023-10-01,9.9,49.62
OCEAN,Months,2022-01-04,TD3C,2023-11-01,9.9,49.62
OCEAN,Months,2022-01-04,TD3C,2023-12-01,9.9,49.62
OCEAN,Months,2022-01-04,TD20,2023-01-01,11.0,71.15
OCEAN,Months,2022-01-04,TD20,2023-02-01,11.0,71.15
OCEAN,Months,2022-01-04,TD20,2023-03-01,11.0,71.15
OCEAN,Months,2022-01-04,TD20,2023-04-01,11.0,71.15
OCEAN,Months,2022-01-04,TD20,2023-05-01,11.0,71.15
OCEAN,Months,2022-01-04,TD20,2023-06-01,11.0,71.15
OCEAN,Months,2022-01-04,TD20,2023-07-01,11.0,71.15
OCEAN,Months,2022-01-04,TD20,2023-08-01,11.0,71.15
OCEAN,Months,2022-01-04,TD20,2023-09-01,11.0,71.15
OCEAN,Months,2022-01-04,TD20,2023-10-01,11.0,71.15
OCEAN,Months,2022-01-04,TD20,2023-11-01,11.0,71.15
OCEAN,Months,2022-01-04,TD20,2023-12-01,11.0,71.15
OCEAN,Months,2022-01-04,TD22,2023-01-01,26.2963,7.1
OCEAN,Months,2022-01-04,TD22,2023-02-01,26.2963,7.1
OCEAN,Months,2022-01-04,TD22,2023-03-01,26.2963,7.1
OCEAN,Months,2022-01-04,TD22,2023-04-01,26.2963,7.1
OCEAN,Months,2022-01-04,TD22,2023-05-01,26.2963,7.1
OCEAN,Months,2022-01-04,TD22,2023-06-01,26.2963,7.1
OCEAN,Months,2022-01-04,TD22,2023-07-01,26.2963,7.1
OCEAN,Months,2022-01-04,TD22,2023-08-01,26.2963,7.1
OCEAN,Months,2022-01-04,TD22,2023-09-01,26.2963,7.1
OCEAN,Months,2022-01-04,TD22,2023-10-01,26.2963,7.1
OCEAN,Months,2022-01-04,TD22,2023-11-01,26.2963,7.1
OCEAN,Months,2022-01-04,TD22,2023-12-01,26.2963,7.1
OCEAN,Months,2022-01-04,TD25,2023-01-01,18.9,100.96
OCEAN,Months,2022-01-04,TD25,2023-02-01,18.9,100.96
OCEAN,Months,2022-01-04,TD25,2023-03-01,18.9,100.96
OCEAN,Months,2022-01-04,TD25,2023-04-01,18.9,100.96
OCEAN,Months,2022-01-04,TD25,2023-05-01,18.9,100.96
