source,periodType,date,period,TD20_pmt,TD22_pmt,TD25_pmt,TD3C_pmt,TD20_ws,td22_ls,TD25_ws,TD3C_ws
OCEAN,Balmo,2022-01-03,2022-01-01,9.0,18.5185,18.0,7.9,58.21,5.0,96.15,39.6
OCEAN,Balmo,2022-01-04,2022-01-01,9.23,18.3745,18.31,7.43,59.73,4.9611,97.82,37.24
OCEAN,Balmo,2022-01-05,2022-01-01,8.67,18.1808,19.82,7.37,56.11,4.9088,105.88,36.97
OCEAN,Balmo,2022-01-06,2022-01-01,8.78,17.7315,19.41,7.43,56.78,4.7875,103.67,37.25
OCEAN,Balmo,2022-01-07,2022-01-01,8.73,17.7531,19.21,7.43,56.5,4.7933,102.63,37.26
OCEAN,Balmo,2022-01-10,2022-01-01,8.77,17.7646,19.1,7.44,56.73,4.7964,102.01,37.28
OCEAN,Balmo,2022-01-11,2022-01-01,8.52,17.792,18.25,7.37,55.1,4.8038,97.5,36.96
OCEAN,Balmo,2022-01-12,2022-01-01,8.54,17.8086,18.48,7.38,55.23,4.8083,98.71,37.0
OCEAN,Balmo,2022-01-13,2022-01-01,8.58,17.8283,18.53,7.39,55.47,4.8136,99.01,37.05
OCEAN,Balmo,2022-01-14,2022-01-01,8.75,17.8519,18.8,7.4,56.57,4.82,100.45,37.1
OCEAN,Balmo,2022-01-17,2022-01-01,8.79,17.8519,18.8,7.34,56.87,4.82,100.45,36.78
OCEAN,Balmo,2022-01-18,2022-01-01,9.35,17.8189,19.28,7.34,60.48,4.8111,103.0,36.77
OCEAN,Balmo,2022-01-19,2022-01-01,8.75,17.6157,19.18,7.24,56.62,4.7563,102.44,36.31
OCEAN,Balmo,2022-01-20,2022-01-01,8.74,17.5661,19.38,7.18,56.51,4.7429,103.5,36.01
OCEAN,Balmo,2022-01-21,2022-01-01,8.68,17.6235,19.56,7.18,56.18,4.7583,104.5,36.0
OCEAN,Balmo,2022-01-24,2022-01-01,9.59,17.4074,19.64,7.19,62.05,4.7,104.9,36.02
OCEAN,Balmo,2022-01-25,2022-01-01,9.42,17.4537,19.75,7.19,60.91,4.7125,105.5,36.05
OCEAN,Balmo,2022-01-26,2022-01-01,9.8,17.2222,20.25,7.22,63.37,4.65,108.17,36.19
OCEAN,Balmo,2022-01-27,2022-01-01,10.1,16.4815,20.36,7.18,65.34,4.45,108.75,36.01
OCEAN,Balmo,2022-01-28,2022-01-01,8.94,16.4815,20.12,7.34,57.83,4.45,107.5,36.79
