source,periodType,date,instrument,period,price,ws
OCEAN,Spot,2025-06-20,TD3C,2025-06-01,17.6394,81.75
OCEAN,Balmo,2025-06-20,TD3C,2025-06-01,17.92,83.05
OCEAN,Months,2025-06-20,TD3C,2025-06-01,13.68,63.4
OCEAN,Months,2025-06-20,TD3C,2025-07-01,14.84,68.75
OCEAN,Months,2025-06-20,TD3C,2025-08-01,12.73,59.0
OCEAN,Spot,2025-06-20,TD20,2025-06-01,15.2368,89.72
OCEAN,Balmo,2025-06-20,TD20,2025-06-01,15.06,88.7
OCEAN,Months,2025-06-20,TD20,2025-06-01,14.69,86.5
OCEAN,Months,2025-06-20,TD20,2025-07-01,14.77,87.0
OCEAN,Months,2025-06-20,TD20,2025-08-01,13.58,80.0
OCEAN,Spot,2025-06-20,TD22,2025-06-01,29.81,8.05
OCEAN,Balmo,2025-06-20,TD22,2025-06-01,30.0,8.1
OCEAN,Months,2025-06-20,TD22,2025-06-01,25.9259,7.0
OCEAN,Months,2025-06-20,TD22,2025-07-01,28.3333,7.65
OCEAN,Months,2025-06-20,TD22,2025-08-01,27.4074,7.4
OCEAN,Spot,2025-06-20,TD25,2025-06-01,28.17,130.83
OCEAN,Balmo,2025-06-20,TD25,2025-06-01,29.23,135.75
OCEAN,Months,2025-06-20,TD25,2025-06-01,31.13,144.58
OCEAN,Months,2025-06-20,TD25,2025-07-01,29.68,137.83
OCEAN,Months,2025-06-20,TD25,2025-08-01,26.01,120.83
OCEAN,Months,2025-06-20,TD3C,2025-09-01,13.22,61.25
OCEAN,Months,2025-06-20,TD3C,2025-10-01,14.08,65.25
OCEAN,Months,2025-06-20,TD3C,2025-11-01,14.08,65.25
OCEAN,Months,2025-06-20,TD3C,2025-12-01,14.08,65.25
OCEAN,Months,2025-06-20,TD3C,2026-01-01,13.1,60.7
OCEAN,Months,2025-06-20,TD3C,2026-02-01,13.1,60.7
OCEAN,Months,2025-06-20,TD3C,2026-03-01,13.1,60.7
OCEAN,Months,2025-06-20,TD3C,2026-04-01,11.5,53.29
OCEAN,Months,2025-06-20,TD3C,2026-05-01,11.5,53.29
OCEAN,Months,2025-06-20,TD3C,2026-06-01,11.5,53.29
OCEAN,Months,2025-06-20,TD20,2025-09-01,14.05,82.75
OCEAN,Months,2025-06-20,TD20,2025-10-01,14.94,88.0
OCEAN,Months,2025-06-20,TD20,2025-11-01,14.94,88.0
OCEAN,Months,2025-06-20,TD20,2025-12-01,14.94,88.0
OCEAN,Months,2025-06-20,TD20,2026-01-01,13.2,77.74
OCEAN,Months,2025-06-20,TD20,2026-02-01,13.2,77.74
OCEAN,Months,2025-06-20,TD20,2026-03-01,13.2,77.74
OCEAN,Months,2025-06-20,TD20,2026-04-01,11.7,68.9
OCEAN,Months,2025-06-20,TD20,2026-05-01,11.7,68.9
OCEAN,Months,2025-06-20,TD20,2026-06-01,11.7,68.9
