period,oldName,newName,periodType
Spot,spot,spot,Spot
Balmo,balmo,balmo,Balmo
15-Jan,1/1/2015,1/1/2015,Months
15-Feb,2/1/2015,2/1/2015,Months
15-Mar,3/1/2015,3/1/2015,Months
15-Apr,4/1/2015,4/1/2015,Months
15-May,5/1/2015,5/1/2015,Months
15-Jun,6/1/2015,6/1/2015,Months
15-Jul,7/1/2015,7/1/2015,Months
15-Aug,8/1/2015,8/1/2015,Months
15-Sep,9/1/2015,9/1/2015,Months
15-Oct,10/1/2015,10/1/2015,Months
15-Nov,11/1/2015,11/1/2015,Months
15-Dec,12/1/2015,12/1/2015,Months
16-Jan,1/1/2016,1/1/2016,Months
16-Feb,2/1/2016,2/1/2016,Months
16-Mar,3/1/2016,3/1/2016,Months
16-Apr,4/1/2016,4/1/2016,Months
16-May,5/1/2016,5/1/2016,Months
16-Jun,6/1/2016,6/1/2016,Months
16-Jul,7/1/2016,7/1/2016,Months
16-Aug,8/1/2016,8/1/2016,Months
16-Sep,9/1/2016,9/1/2016,Months
16-Oct,10/1/2016,10/1/2016,Months
16-Nov,11/1/2016,11/1/2016,Months
16-Dec,12/1/2016,12/1/2016,Months
17-Jan,1/1/2017,1/1/2017,Months
17-Feb,2/1/2017,2/1/2017,Months
17-Mar,3/1/2017,3/1/2017,Months
17-Apr,4/1/2017,4/1/2017,Months
17-May,5/1/2017,5/1/2017,Months
17-Jun,6/1/2017,6/1/2017,Months
17-Jul,7/1/2017,7/1/2017,Months
17-Aug,8/1/2017,8/1/2017,Months
17-Sep,9/1/2017,9/1/2017,Months
17-Oct,10/1/2017,10/1/2017,Months
17-Nov,11/1/2017,11/1/2017,Months
17-Dec,12/1/2017,12/1/2017,Months
18-Jan,1/1/2018,1/1/2018,Months
18-Feb,2/1/2018,2/1/2018,Months
18-Mar,3/1/2018,3/1/2018,Months
18-Apr,4/1/2018,4/1/2018,Months
18-May,5/1/2018,5/1/2018,Months
18-Jun,6/1/2018,6/1/2018,Months
18-Jul,7/1/2018,7/1/2018,Months
18-Aug,8/1/2018,8/1/2018,Months
18-Sep,9/1/2018,9/1/2018,Months
18-Oct,10/1/2018,10/1/2018,Months
18-Nov,11/1/2018,11/1/2018,Months
18-Dec,12/1/2018,12/1/2018,Months
19-Jan,1/1/2019,1/1/2019,Months
19-Feb,2/1/2019,2/1/2019,Months
19-Mar,3/1/2019,3/1/2019,Months
19-Apr,4/1/2019,4/1/2019,Months
19-May,5/1/2019,5/1/2019,Months
19-Jun,6/1/2019,6/1/2019,Months
19-Jul,7/1/2019,7/1/2019,Months
19-Aug,8/1/2019,8/1/2019,Months
19-Sep,9/1/2019,9/1/2019,Months
19-Oct,10/1/2019,10/1/2019,Months
19-Nov,11/1/2019,11/1/2019,Months
19-Dec,12/1/2019,12/1/2019,Months
20-Jan,1/1/2020,1/1/2020,Months
20-Feb,2/1/2020,2/1/2020,Months
20-Mar,3/1/2020,3/1/2020,Months
20-Apr,4/1/2020,4/1/2020,Months
20-May,5/1/2020,5/1/2020,Months
20-Jun,6/1/2020,6/1/2020,Months
20-Jul,7/1/2020,7/1/2020,Months
20-Aug,8/1/2020,8/1/2020,Months
20-Sep,9/1/2020,9/1/2020,Months
20-Oct,10/1/2020,10/1/2020,Months
20-Nov,11/1/2020,11/1/2020,Months
20-Dec,12/1/2020,12/1/2020,Months
21-Jan,1/1/2021,1/1/2021,Months
21-Feb,2/1/2021,2/1/2021,Months
21-Mar,3/1/2021,3/1/2021,Months
21-Apr,4/1/2021,4/1/2021,Months
21-May,5/1/2021,5/1/2021,Months
21-Jun,6/1/2021,6/1/2021,Months
21-Jul,7/1/2021,7/1/2021,Months
21-Aug,8/1/2021,8/1/2021,Months
21-Sep,9/1/2021,9/1/2021,Months
21-Oct,10/1/2021,10/1/2021,Months
21-Nov,11/1/2021,11/1/2021,Months
21-Dec,12/1/2021,12/1/2021,Months
22-Jan,1/1/2022,1/1/2022,Months
22-Feb,2/1/2022,2/1/2022,Months
22-Mar,3/1/2022,3/1/2022,Months
22-Apr,4/1/2022,4/1/2022,Months
22-May,5/1/2022,5/1/2022,Months
22-Jun,6/1/2022,6/1/2022,Months
